campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,kind,platform,status,accounting_mode,attribution_model,attribution_window,spend,impressions,meta_link_clicks,attributed_rev,transactions,roas,meta_3s_video_views
Campaign ID: 120 201316864050716,120 201316864050716,"Adset ID: 120201316864020716, Campaign ID: 120 201316864050716",120201316864020716,"Ad ID: 120205780992000716, Adset ID: 120201316864020716, Campaign ID: 120 201316864050716",120205780992000716,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120227017833240606,120227017833240606,"Adset ID: 120229327651300606, Campaign ID: 120227017833240606",120229327651300606,"Ad ID: 120229328015280606, Adset ID: 120229327651300606, Campaign ID: 120227017833240606",120229328015280606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120227017833240606,120227017833240606,"Adset ID: 120229595537020606, Campaign ID: 120227017833240606",120229595537020606,"Ad ID: 120229595655140606, Adset ID: 120229595537020606, Campaign ID: 120227017833240606",120229595655140606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120228520300020606,120228520300020606,"Adset ID: 120228524191210606, Campaign ID: 120228520300020606",120228524191210606,"Ad ID: 120228531659520606, Adset ID: 120228524191210606, Campaign ID: 120228520300020606",120228531659520606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120229478424970606,120229478424970606,"Adset ID: 120229478424960606, Campaign ID: 120229478424970606",120229478424960606,"Ad ID: 120229478425090606, Adset ID: 120229478424960606, Campaign ID: 120229478424970606",120229478425090606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 23848548707460798,23848548707460798,"Adset ID: 23848548707410798, Campaign ID: 23848548707460798",23848548707410798,"Ad ID: 23848557995360798, Adset ID: 23848548707410798, Campaign ID: 23848548707460798",23848557995360798,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,33.51,1.0,,
Campaign ID: 23852388411050524,23852388411050524,"Adset ID: 23852388411080524, Campaign ID: 23852388411050524",23852388411080524,"Ad ID: 120222798144170525, Adset ID: 23852388411080524, Campaign ID: 23852388411050524",120222798144170525,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 6778432083704,6778432083704,"Adset ID: 6778438685304, Campaign ID: 6778432083704",6778438685304,"Ad ID: 6778432084304, Adset ID: 6778438685304, Campaign ID: 6778432083704",6778432084304,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: {{campaign_name}},{{campaign_name}},"Adset ID: {{ad_name}}_{{ad_id}}, Campaign ID: {{campaign_name}}",{{ad_name}}_{{ad_id}},"Ad ID: 120223339452240362, Adset ID: {{ad_name}}_{{ad_id}}, Campaign ID: {{campaign_name}}",120223339452240362,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Facebook Organic (fbclid),,(no name),,(no name),,query,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,47122.72,763.0,,
Meta Shops,__meta_shops__,Meta Shops,,Meta Shops,,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,112980.68,2909.0,,
n:BEB ASC Evergreen 35% Cap_o:Canada_p:250115 Campaign,120214956798530606,n:BEB ASC Evergreen 35% Cap_o:Canada_p:250115 Ad set,120214956798520606,"Ad ID: 120216510460170606, Adset ID: 120214956798520606, Campaign ID: 120214956798530606",120216510460170606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:BEB ASC Evergreen 35% Cap_o:Canada_p:250115 Campaign,120214956798530606,n:BEB ASC Evergreen 35% Cap_o:Canada_p:250115 Ad set,120214956798520606,"Ad ID: 120226370679350606, Adset ID: 120214956798520606, Campaign ID: 120214956798530606",120226370679350606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:BEB ASC Evergreen 35% Cap_o:Canada_p:250115 Campaign,120214956798530606,n:BEB ASC Evergreen 35% Cap_o:Canada_p:250115 Ad set,120214956798520606,"Ad ID: 120229526943960606, Adset ID: 120214956798520606, Campaign ID: 120214956798530606",120229526943960606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Campaign,120206236695380606,n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Ad set,120206236695360606,"Ad ID: 120218579706120606, Adset ID: 120206236695360606, Campaign ID: 120206236695380606",120218579706120606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Campaign,120206236695380606,n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Ad set,120206236695360606,"Ad ID: 120218929092800606, Adset ID: 120206236695360606, Campaign ID: 120206236695380606",120218929092800606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Campaign,120206236695380606,n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Ad set,120206236695360606,"Ad ID: 120228867044030606, Adset ID: 120206236695360606, Campaign ID: 120206236695380606",120228867044030606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
