campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,kind,platform,status,accounting_mode,attribution_model,attribution_window,spend,impressions,meta_link_clicks,attributed_rev,transactions,roas,meta_3s_video_views
Facebook Organic (fbclid),,(no name),,(no name),,query,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,3901.96,56.0,,
Meta Shops,__meta_shops__,Meta Shops,,Meta Shops,,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,20693.340000000004,493.0,,
n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Campaign,120206236695380606,n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Ad set,120206236695360606,"Ad ID: 120218929092800606, Adset ID: 120206236695360606, Campaign ID: 120206236695380606",120218929092800606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:AHoover-BrowGel-ProdApp-4x5-Testimonial-April-RHM1131V1_c:ProdApp_d:_e:Video_f:PDP_g:250130,120215668956380716,_,fb,Active,Accrual performance,Last non-direct touch,1,1331.3300019999997,56703.0,643.0,965.55,22.0,0.72525219032809,14842.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:HMoulder-BrowGel-ProdApp-4x5-Merida-V4_c:ProdApp_d:_e:Video_f:PDP_g:25027,120217807016320716,_,fb,Active,Accrual performance,Last non-direct touch,1,578.48,30211.0,345.0,525.34,8.0,0.9081385700456368,8289.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:KBodnar-BrowGel-ProdApp-4x5-Podcast-V2_c:ProdApp_d:_e:Video_f:PDP_g:250423,120223429263790716,_,fb,Paused,Accrual performance,Last non-direct touch,1,5021.320002,133882.0,1276.0,1706.13,39.0,0.3397771899262436,46664.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:LFulton-BrowGel-ProdApp-4x5-TestimonialIteration-Christina-RHM1192V2_c:ProdApp_d:_e:Video_f:PDP_g:250326_h:RHM,120219977248650716,_,fb,Paused,Accrual performance,Last non-direct touch,1,,,0.0,,,,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:LKiesling-BrowGel-ProdApp-Nan-Mature-V2_c:ProdApp_d:_e:Video_f:PDP_g:250130,120215668819140716,_,fb,Active,Accrual performance,Last non-direct touch,1,95.14,3940.0,50.0,32.57,1.0,0.342337607735968,1208.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:TRenner-BrowGel-ProdApp-4x5-Testimonial-Merida-RHM1141V1_c:ProdApp_d:_e:Video_f:PDP_g:250305,120218069286470716,_,fb,Paused,Accrual performance,Last non-direct touch,1,1892.499999,61070.0,995.0,376.83,8.0,0.1991175694579221,19492.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowLiner_b:CGilson-BrowLiner-ProdApp-4x5-BCATestimonial-Blanka-RHM1128V3_c:ProdApp_d:_e:Video_f:PDP_g:250123,120215355208530716,_,fb,Paused,Accrual performance,Last non-direct touch,1,168.990002,5560.0,88.0,220.58999999999995,3.0,1.3053434960016153,1861.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowLiner_b:CGilson-BrowLiner-ProdApp-4x5-BCATestimonialIteration-Blanka-RHM1161V3_c:ProdApp_d:_e:Video_f:PDP_g:250227,120217807046340716,_,fb,Active,Accrual performance,Last non-direct touch,1,181.24,6897.0,103.0,128.99,2.0,0.7117082321783271,1693.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowLiner_b:TH1103-Michelle-BrowLiner-A_c:ProdApp_d:See why beauty lovers_e:Video_f:PDP_g:240202_h:NRTV-BCA - Previous Top Performer,120210598690240716,_,fb,Active,Accrual performance,Last non-direct touch,1,953.179996,37802.0,636.0,811.74,13.0,0.8516125006886947,11415.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,"a:Browgel_b:TH1099-Mavi-BrowGel-A-ConversionsOpt_c:ProdApp_d:""I can't believe how well_e:Video_f:PDP_g:230817_h:NRTV - Previous Top Performer",120209258513030716,_,fb,Paused,Accrual performance,Last non-direct touch,1,1047.3599989999998,46447.0,410.0,217.27,7.0,0.2074453866936348,10595.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,"a:Browgel_b:TH1279-Michelle-PerfectBrowGel-Nan-D_c:ProdApp_d:""I can't believe how well_e:Video_f:PDP_g:241025_h:NRTV",120212991228000716,_,fb,Paused,Accrual performance,Last non-direct touch,1,1669.130001,81552.0,985.0,1012.38,27.0,0.6065315460110766,21338.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,"a:Browgel_b:TH1293-MultiUGC-NEWShadesBrowGelApril-A_c:ProdApp_d:""I can't believe how well_e:Video_f:PDP_g:240312_h:NRTV - Copy",120209257865900716,_,fb,Paused,Accrual performance,Last non-direct touch,1,253.53000000000003,7670.0,134.0,131.08,6.0,0.5170196820889047,2565.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:JMoore-Eyeliner-ProdApp-4x5-Testimonial-RHM1220V1_c:ProdApp_d:_e:Video_f:PDP_g:250423_h:RHM,120223427746590716,_,fb,Active,Accrual performance,Last non-direct touch,1,17.67,597.0,15.0,0.0,0.0,0.0,142.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:JMoore-IWEL-ProdApp-4x5-TestimonialIteration-RHM1252V4_c:ProdApp_d:_e:Video_f:PDP_g:250521_h:RHM,120226300418680716,_,fb,Active,Accrual performance,Last non-direct touch,1,5.120000000000001,235.0,2.0,0.0,0.0,0.0,49.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:KBodnar-IWEL-Alondra-4x5-V2-US_c:ProdApp_d:_e:Video_f:PDP_g:250430,120224343200150716,_,fb,Paused,Accrual performance,Last non-direct touch,1,126.030001,5979.0,46.0,71.9,1.0,0.570499082992152,1324.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:Kbodnar-IWEL-ProdApp-9x16-Plum-V1_c:ProdApp_d:_e:Video_f:PDP_g:240901_h:TCCPBCA,120212133534020716,_,fb,Active,Accrual performance,Last non-direct touch,1,1019.319999,37978.0,347.0,1962.16,27.0,1.9249695894566667,9561.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:MRusso-IWEL-ProdApp-Alondra-SilverHair-V2_c:ProdApp_d:_e:Video_f:PDP_g:250123,120215355472940716,_,fb,Paused,Accrual performance,Last non-direct touch,1,180.92,7347.0,102.0,0.0,0.0,0.0,2425.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:Model-IWEL-ProdShot-ProdApp-1x1-3Shades-Evergreen_c:Model_d:_e:Carousel_f:PDP_g:250521,120226302511210716,_,fb,Paused,Accrual performance,Last non-direct touch,1,5.58,894.0,10.0,0.0,0.0,0.0,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:MultiModel-IWEL-ProdApp-4x5-MatureProbSol-RHM1244V3_c:ProdApp_d:_e:Video_f:PDP_g:250521_h:RHM,120226300968330716,_,fb,Active,Accrual performance,Last non-direct touch,1,393.410002,13457.0,283.0,54.040000000000006,2.0,0.1373630556551025,4765.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:MultiModel-IWEL-ProdApp-4x5-MatureProbSol-RHM1244V4_c:ProdApp_d:_e:Video_f:PDP_g:250514_h:RHM,120225701404370716,_,fb,Paused,Accrual performance,Last non-direct touch,1,8077.500001,250123.0,3036.0,2621.34,50.0,0.3245236768400465,71816.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:SPavlos-IWEL-ProdApp-4x5-AllShades-ShadeScroll-B-V1_c:ProdApp_d:_e:Video_f:PDP_g:250221,120217028686120716,_,fb,Active,Accrual performance,Last non-direct touch,1,2381.830001,122161.0,1620.0,2334.45,33.0,0.9801077318783844,33004.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:TH1280.1H-Alexis-WL-QuickMakeupHacks-Beginner’sEyelinerIWEL-Lauren-A_c:ProdApp_d:NEW Infinity Waterproof Liquid Eyeliner Pen_e:Video_f:PDP_g:240611_h:NRTV,120213150432970716,_,fb,Paused,Accrual performance,Last non-direct touch,1,81.27999999999999,4654.0,39.0,0.0,0.0,0.0,1115.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:TH1514-JoAnn-GoodbyeMessyEyelinerIWEL-Ella-A_c:ProdApp_d:_e:Video_f:PDP_g:250130_h:NRTV,120215668790540716,_,fb,Active,Accrual performance,Last non-direct touch,1,5670.870001000001,288180.0,2904.0,3691.1,75.0,0.6508877825358563,86607.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:TH1538-Janet-EasyEyelinerIWEL-Alondra-A_c:ProdApp_d:_e:Video_f:PDP_g:250213_h:NRTV,120216410404050716,_,fb,Paused,Accrual performance,Last non-direct touch,1,333.450001,10399.0,157.0,0.0,0.0,0.0,3249.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:TH1563-Madeleine-FirstImpressionIWEL-Ella-A-WL-QuickMakeupHacks_c:ProdApp_d:_e:Video_f:PDP_g:250326_h:NRTV,120219976284660716,_,fb,Paused,Accrual performance,Last non-direct touch,1,27.090000000000003,1552.0,11.0,0.0,0.0,0.0,327.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:TH1564-Madeleine-EasyToUseIWEL-Ella-B-WL-QuickMakeupHacks_c:ProdApp_d:_e:Video_f:PDP_g:250409_h:NRTV,120222483464010716,_,fb,Paused,Accrual performance,Last non-direct touch,1,503.05999899999995,16352.0,226.0,398.05,9.0,0.7912575056479496,4351.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:IWEL_b:TH1572-MultiUGC-MatureWomenIWEL-A-WL-AgelessBeautyTips_c:ProdApp_d:_e:Video_f:PDP_g:250319_h:NRTV,120219236329440716,_,fb,Active,Accrual performance,Last non-direct touch,1,1210.0700020000002,53668.0,598.0,283.79999999999995,6.0,0.2345318861974399,15953.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:AElliott-LLEM-ProdApp-1x1-LongLashes-Evergreen-V1_c:ProdApp_d:_e:Video_f:PDP_g:241108 - Previous Top Performer,120213335350250716,_,fb,Active,Accrual performance,Last non-direct touch,1,1302.599997,57222.0,519.0,561.8,15.0,0.4312912646198938,14280.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:BLyon-Mascara-ProdApp-4x5-Testimonial-RHM1249V4_c:ProdApp_d:_e:Video_f:PDP_g:250528_h:RHM,120226836642680716,_,fb,Paused,Accrual performance,Last non-direct touch,1,129.27,3570.0,68.0,0.0,0.0,0.0,1898.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:HJones-Mascara-ProdApp-4x5-BCATestimonialIteration-Crystal-RHM1189V1_c:ProdApp_d:_e:Video_f:PDP_g:250326_h:RHM,120219973682130716,_,fb,Paused,Accrual performance,Last non-direct touch,1,46.330000000000005,2907.0,18.0,42.8,1.0,0.923807468163177,514.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:JKidd-BerryLLEM-4x5-V1-US_c:ProdApp_d:BerryCollection_e:Video_f:PDP_g:250521,120226299584050716,_,fb,Active,Accrual performance,Last non-direct touch,1,4.45,382.0,2.0,0.0,0.0,0.0,77.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:JSpaven-Mascara-ProdApp-4x5-TestimonialIteration-RHM1241V3_c:ProdApp_d:_e:Video_f:PDP_g:250521_h:RHM,120226301143420716,_,fb,Active,Accrual performance,Last non-direct touch,1,15.0,481.0,2.0,0.0,0.0,0.0,198.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:MRostamian-Mascara-ProdApp-4x5-Testimonial-Crystal-RHM1163V1_c:ProdApp_d:_e:Video_f:PDP_g:250305,120218069215870716,_,fb,Paused,Accrual performance,Last non-direct touch,1,3398.470002000001,71330.0,875.0,977.2,22.0,0.2875411580578664,34054.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:MRostamian-Mascara-ProdShot-1x1-Question-RHM1209V3_c:ProdShot_d:_e:Static_f:PDP_g:250423_h:RHM,120223427878010716,_,fb,Active,Accrual performance,Last non-direct touch,1,6.82,609.0,1.0,0.0,0.0,0.0,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:MultiModel-Mascara-ProdApp-4x5-MatureFocus-RHM1242V2_c:ProdApp_d:_e:Video_f:PDP_g:250514_h:RHM,120225701242610716,_,fb,Paused,Accrual performance,Last non-direct touch,1,3911.910001,73292.0,1107.0,381.04,8.0,0.0974051038757524,34778.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:NoModel-Mascara-ProdAnimation-1x1-10thAnniversary-RHM1195V4_c:ProdAnimation_d:_e:Static_f:PDP_g:250326_h:RHM,120219982281450716,_,fb,Paused,Accrual performance,Last non-direct touch,1,13738.699999,827635.0,3923.0,10382.25,178.0,0.7556937702079303,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:NoModel-Mascara-ProdAnimation-1x1-Buy2FreeShip-NA-RHM1222V2_c:ProdAnimation_d:_e:Static_f:PDP_g:250430_h:RHM,120224336566500716,_,fb,Active,Accrual performance,Last non-direct touch,1,10.81,942.0,8.0,0.0,0.0,0.0,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:SMariano-LLEM-ProdApp-4x5-FirstImpression-LLEMAnimation-V1-10th_c:ProdApp_d:_e:Video_f:PDP_g:250430,120224347239410716,_,fb,Paused,Accrual performance,Last non-direct touch,1,,,0.0,,,,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:TH1021-D.1H-Emeline-B_c:ProdApp_d:I've never used a mascara like this_e:Video_f:PDP_g:230602_h:NRTV,120208494045990716,_,fb,Active,Accrual performance,Last non-direct touch,1,3072.71,144260.0,1386.0,2240.5200000000004,45.0,0.7291674124795376,28657.0
n:Prospecting+Remarketing_o:ASC 10% Cap Mascara_p:231124 Campaign,120201240657910716,n:Prospecting_o:ASC 10% Cap Mascara_p:231124 Ad set,120201240657920716,a:Mascara_b:TH1244-MultiUGC-LLEM-A_c:ProdApp_d:I'm so glad I finally tried_e:Video_f:PDP_g:240124_h:NRTV-QuickMakeupHacks - Copy,120211161830130716,_,fb,Paused,Accrual performance,Last non-direct touch,1,414.05,13894.0,160.0,157.81,2.0,0.3811375437749063,3585.0
