campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,kind,platform,status,accounting_mode,attribution_model,attribution_window,spend,impressions,meta_link_clicks,attributed_rev,transactions,roas,meta_3s_video_views
Campaign ID: 120223848723100147,120223848723100147,"Adset ID: 120223848723110147, Campaign ID: 120223848723100147",120223848723110147,"Ad ID: 120223848723150147, Adset ID: 120223848723110147, Campaign ID: 120223848723100147",120223848723150147,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120224296897790563,120224296897790563,"Adset ID: 120224296897920563, Campaign ID: 120224296897790563",120224296897920563,"Ad ID: 120224296897990563, Adset ID: 120224296897920563, Campaign ID: 120224296897790563",120224296897990563,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120224490697660606,120224490697660606,"Adset ID: 120224490697650606, Campaign ID: 120224490697660606",120224490697650606,"Ad ID: 120224490697800606, Adset ID: 120224490697650606, Campaign ID: 120224490697660606",120224490697800606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120226894300280606,120226894300280606,"Adset ID: 120226894300600606, Campaign ID: 120226894300280606",120226894300600606,"Ad ID: 120226894300520606, Adset ID: 120226894300600606, Campaign ID: 120226894300280606",120226894300520606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Facebook Organic (fbclid),,(no name),,(no name),,query,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,48676.65999999999,800.0,,
Meta Shops,__meta_shops__,Meta Shops,,Meta Shops,,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,263475.12,6671.0,,
n:BEB ASC Evergreen 35% Cap_o:Canada_p:250115 Campaign,120214956798530606,n:BEB ASC Evergreen 35% Cap_o:Canada_p:250115 Ad set,120214956798520606,"Ad ID: 120227642864420606, Adset ID: 120214956798520606, Campaign ID: 120214956798530606",120227642864420606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Campaign,120206236695380606,n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Ad set,120206236695360606,"Ad ID: 120218929092800606, Adset ID: 120206236695360606, Campaign ID: 120206236695380606",120218929092800606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Campaign,120206236695380606,n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Ad set,120206236695360606,"Ad ID: 120224863685430606, Adset ID: 120206236695360606, Campaign ID: 120206236695380606",120224863685430606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Campaign,120206236695380606,n:Best Sellers ASC Evergreen No Cap_o:Canada_p:240229 Ad set,120206236695360606,"Ad ID: 120227640881960606, Adset ID: 120206236695360606, Campaign ID: 120206236695380606",120227640881960606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
