campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,kind,platform,status,accounting_mode,attribution_model,attribution_window,spend,impressions,meta_link_clicks,attributed_rev,transactions,roas,meta_3s_video_views
Campaign ID: 120 201316864050716,120 201316864050716,"Adset ID: 120201316864020716, Campaign ID: 120 201316864050716",120201316864020716,"Ad ID: 120205780992000716, Adset ID: 120201316864020716, Campaign ID: 120 201316864050716",120205780992000716,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120223848723100147,120223848723100147,"Adset ID: 120223848723110147, Campaign ID: 120223848723100147",120223848723110147,"Ad ID: 120223848723150147, Adset ID: 120223848723110147, Campaign ID: 120223848723100147",120223848723150147,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120225351204910572,120225351204910572,"Adset ID: 120225829798070572, Campaign ID: 120225351204910572",120225829798070572,"Ad ID: 120225829742110572, Adset ID: 120225829798070572, Campaign ID: 120225351204910572",120225829742110572,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120227017833240606,120227017833240606,"Adset ID: 120229327651300606, Campaign ID: 120227017833240606",120229327651300606,"Ad ID: 120229328015280606, Adset ID: 120229327651300606, Campaign ID: 120227017833240606",120229328015280606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120227017833240606,120227017833240606,"Adset ID: 120229595537020606, Campaign ID: 120227017833240606",120229595537020606,"Ad ID: 120229595655140606, Adset ID: 120229595537020606, Campaign ID: 120227017833240606",120229595655140606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120228520300020606,120228520300020606,"Adset ID: 120228524191210606, Campaign ID: 120228520300020606",120228524191210606,"Ad ID: 120228531659520606, Adset ID: 120228524191210606, Campaign ID: 120228520300020606",120228531659520606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 120229478424970606,120229478424970606,"Adset ID: 120229478424960606, Campaign ID: 120229478424970606",120229478424960606,"Ad ID: 120229478425090606, Adset ID: 120229478424960606, Campaign ID: 120229478424970606",120229478425090606,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 23848548707460798,23848548707460798,"Adset ID: 23848548707410798, Campaign ID: 23848548707460798",23848548707410798,"Ad ID: 23848557995360798, Adset ID: 23848548707410798, Campaign ID: 23848548707460798",23848557995360798,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,33.51,1.0,,
Campaign ID: 23852388411050524,23852388411050524,"Adset ID: 23852388411080524, Campaign ID: 23852388411050524",23852388411080524,"Ad ID: 120222798144170525, Adset ID: 23852388411080524, Campaign ID: 23852388411050524",120222798144170525,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
Campaign ID: 6778432083704,6778432083704,"Adset ID: 6778438685304, Campaign ID: 6778432083704",6778438685304,"Ad ID: 6778432084304, Adset ID: 6778438685304, Campaign ID: 6778432083704",6778432084304,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
