campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,kind,platform,status,accounting_mode,attribution_model,attribution_window,spend,impressions,meta_link_clicks,attributed_rev,transactions,roas,meta_3s_video_views
Facebook Organic (fbclid),,(no name),,(no name),,query,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,1211.0299999999995,19.0,,
Meta Shops,__meta_shops__,Meta Shops,,Meta Shops,,_,fb,,Accrual performance,Last non-direct touch,1,0.0,0.0,,8733.55,212.0,,
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:AHoover-BrowGel-ProdApp-4x5-Testimonial-April-RHM1131V1_c:ProdApp_d:_e:Video_f:PDP_g:250130,120215668956380716,_,fb,Active,Accrual performance,Last non-direct touch,1,0.0,0.0,,0.0,0.0,,
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:ARutherford-BrowGel-ProdApp-1080x1080-Audrey-QuickandEasy_c:ProdApp_d:_e:Video_f:PDP_g:230405 - Copy 2,120210534082090716,_,fb,Active,Accrual performance,Last non-direct touch,1,651.87,20498.0,181.0,361.72,9.0,0.554895914829644,5766.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:HMoulder-BrowGel-ProdApp-4x5-Merida-V4_c:ProdApp_d:_e:Video_f:PDP_g:25027,120217807016320716,_,fb,Active,Accrual performance,Last non-direct touch,1,751.929998,40401.0,352.0,242.21,5.0,0.3221177511792793,11467.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:LKiesling-BrowGel-ProdApp-Nan-Mature-V2_c:ProdApp_d:_e:Video_f:PDP_g:250130,120215668819140716,_,fb,Active,Accrual performance,Last non-direct touch,1,1665.5300000000002,59272.0,864.0,634.1800000000001,16.0,0.380767683560188,17109.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:MultiModel-BrowGel-ProdApp-4x5-MatureProbSolExplainer-RHM1297V1_c:ProdApp_d:_e:Video_f:PDP_g:250709_h:RHM,120229514100150716,_,fb,Paused,Accrual performance,Last non-direct touch,1,3545.440001,112600.0,1555.0,658.1199999999999,18.0,0.185624351227034,46384.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:PPhillips-BrowGel-ProdApp-1080x1350-NA-2024-NA-RHMConceptualFB-RHM749V3_c:ProdApp_d:_e:Video_f:PDP_g:240105 - Previous Top Performer,120207821501920716,_,fb,Paused,Accrual performance,Last non-direct touch,1,64.75999999999999,1740.0,38.0,64.22999999999999,2.0,0.9918159357628163,559.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:SSchaub-BrowGel-ProdApp-1x1-Recreate-V1-US_c:ProdApp_d:_e:Video_f:PDP_g:250701,120229093323150716,_,fb,Paused,Accrual performance,Last non-direct touch,1,44.65,2204.0,22.0,0.0,0.0,0.0,384.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowGel_b:TRenner-BrowGel-ProdApp-4x5-Testimonial-Merida-RHM1141V1_c:ProdApp_d:_e:Video_f:PDP_g:250305,120218069286470716,_,fb,Paused,Accrual performance,Last non-direct touch,1,0.0,0.0,0.0,0.0,0.0,,0.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowLiner_b:CGilson-BrowLiner-ProdApp-4x5-BCATestimonialIteration-Blanka-RHM1161V3_c:ProdApp_d:_e:Video_f:PDP_g:250227,120217807046340716,_,fb,Active,Accrual performance,Last non-direct touch,1,750.7100000000002,30073.0,376.0,394.88,8.0,0.5260087117528737,6907.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:BrowLiner_b:TH1103-Michelle-BrowLiner-A_c:ProdApp_d:See why beauty lovers_e:Video_f:PDP_g:240202_h:NRTV-BCA - Previous Top Performer,120210598690240716,_,fb,Active,Accrual performance,Last non-direct touch,1,1716.270001,54823.0,1189.0,929.74,18.0,0.5417212906234325,18606.0
n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Campaign,120207821501690716,n:Prospecting+Remarketing_o:ASC 10% Cap Brows + IWEL_p:240408 Ad set,120207821501770716,a:Browgel_b:TH1617-MultiUGC-MatureWomenBrowGel-A_c:ProdApp_d:_e:Video_f:PDP_g:250709_h:NRTV2025,120229513780090716,_,fb,Active,Accrual performance,Last non-direct touch,1,109.38000000000002,2992.0,37.0,0.0,0.0,0.0,846.0
